"","Date","Open","High","Low","Close","Volume","Adj.Close"
"1","2014-12-01",68.879997,71.910004,59.240002,67.419998,2331800,62.951973
"2","2014-11-03",87.290001,89.349998,68.790001,69.550003,2230300,64.940819
"3","2014-10-01",98,98.470001,76.949997,86.82,1956500,80.417854
"4","2014-09-02",104.739998,105.5,96.790001,97.870003,1098100,90.65303
"5","2014-08-01",105.459999,107.400002,98.309998,105.050003,1218000,97.303574
"6","2014-07-01",116.910004,118.949997,104.809998,106.260002,990300,97.755348
"7","2014-06-02",109.900002,118.019997,107.349998,116.110001,972900,106.816986
"8","2014-05-01",107.510002,110.459999,103.540001,109.949997,1047300,101.150009
"9","2014-04-01",107.970001,117,104.099998,108.650002,1225200,99.375305
"10","2014-03-03",95.919998,108.43,95.110001,107.559998,1376100,98.378342
"11","2014-02-03",88.120003,99.349998,83.139999,98.75,1452900,90.320396
"12","2014-01-02",83.949997,88.580002,81.339996,88.040001,1213500,79.953308
"13","2013-12-02",77.300003,84.870003,76.360001,84.080002,1038200,76.357048
"14","2013-11-01",77.639999,79.629997,75.169998,77,1055100,69.927361
"15","2013-10-01",68.910004,79.120003,68.870003,77.550003,1019100,69.967857
"16","2013-09-03",63.990002,71.360001,62.389999,68.949997,1052400,62.208683
"17","2013-08-01",64.75,68.410004,62.84,63.040001,1103000,56.876514
"18","2013-07-01",63.299999,68.279999,62.349998,63.200001,1174800,56.59724
"19","2013-06-03",62.27,64.620003,59.77,62.450001,1306200,55.925594
"20","2013-05-01",57.959999,66.019997,57.110001,61.740002,1172700,55.289772
"21","2013-04-01",60.900002,63.630001,55.779999,58.619999,1444500,52.369659
"22","2013-03-01",65.839996,66.610001,59.959999,60.700001,1663500,54.227879
"23","2013-02-01",64.589996,69.379997,62.799999,66.260002,1727200,59.195049
"24","2013-01-02",57.619999,65.510002,55.790001,64.339996,1379800,57.347969
"25","2012-12-03",52.52,57.189999,52.23,56.009998,1326300,49.923218
"26","2012-11-01",47.82,52.599998,45.380001,52.200001,1524800,46.527264
"27","2012-10-01",48.049999,51.740002,44.950001,47.799999,1592500,42.54155
"28","2012-09-04",45.73,51.709999,43.759998,47.610001,1695600,42.372452
"29","2012-08-01",46.950001,50.040001,44.349998,45.639999,1181300,40.619167
"30","2012-07-02",43.240002,49.400002,41.82,46.5,1752600,41.32653
"31","2012-06-01",44.689999,48.48,38.709999,43.48,2196000,38.642525
"32","2012-05-01",51.240002,52.560001,43.16,45.299999,1955800,40.260036
"33","2012-04-02",54.060001,55.740002,50.130001,51.389999,1686500,45.60355
"34","2012-03-01",61.669998,62.959999,51.689999,53.950001,1403800,47.875298
"35","2012-02-01",62.75,64.199997,58.220001,61.299999,1744700,54.397694
"36","2012-01-03",60.290001,68.599998,56.169998,61.709999,2340900,54.696854
"37","2011-12-01",56.650002,60.880001,53.43,58.360001,1531300,51.727573
"38","2011-11-01",50.439999,57.439999,49.240002,56.959999,1739100,50.486675
"39","2011-10-03",39.73,57,35.580002,53.18,2326600,47.072628
"40","2011-09-01",57.110001,58.490002,40.599998,40.599998,1790200,35.937355
"41","2011-08-01",70.419998,70.910004,48.41,57.02,2372300,50.471626
"42","2011-07-01",66.230003,73.400002,65.25,69.050003,1451700,61.041874
"43","2011-06-01",62.610001,66.599998,57.849998,66.120003,1410900,58.451683
"44","2011-05-02",66.150002,66.25,57.080002,62.68,1826800,55.410637
"45","2011-04-01",69.339996,70.470001,63.860001,66.339996,1252100,58.588364
"46","2011-03-01",65.690002,69.720001,59.139999,68.690002,1405000,60.66378
"47","2011-02-01",58.970001,65.5,57.650002,64.989998,1302100,57.396111
"48","2011-01-03",49.099998,58.779999,47.529999,58.73,1461500,51.815269
"49","2010-12-01",46.290001,49.459999,45.790001,48.48,853900,42.772079
"50","2010-11-01",43.150002,47.549999,41.84,45.360001,1466100,40.019424
"51","2010-10-01",40.880001,45.040001,39.650002,42.779999,1595200,37.691704
"52","2010-09-01",37.639999,41.439999,37.59,40.459999,1287700,35.647648
"53","2010-08-02",41.450001,42.029999,35.560001,37.040001,1452100,32.63443
"54","2010-07-01",36.580002,41.950001,35.630001,40.529999,1600500,35.655998
"55","2010-06-01",37.169998,43.720001,35.799999,36.52,2555400,32.128231
"56","2010-05-03",40.900002,41.41,32.34,37.68,2861000,33.148731
"57","2010-04-01",38.599998,43.580002,38.110001,40.619999,2184800,35.686398
"58","2010-03-01",40.41,41.560001,36.23,38.080002,2493400,33.454903
"59","2010-02-01",42.209999,44.709999,38.849998,40.52,4743000,35.598545
"60","2010-01-04",40.709999,49.130001,40.709999,41.830002,2174100,36.704266
